"","Date","Pays","Infections","Deces","Guerisons","long","lat"
"314","7/13/2020","Gibraltar","180","0","179","#N/A","#N/A"
"315","7/13/2020","Georgia","995","15","857","43.5077900","42.1685594"
"316","7/13/2020","Grenada","23","0","23","-61.6821942","12.1172555"
"317","7/13/2020","United kingdom","291511","44915","1205","-2.8656336","54.1238716"
"318","7/13/2020","Gabon","6026","46","3475","11.7886301","-0.5866033"
"319","7/13/2020","France","211633","30029","78388","2.5361847","46.1870058"
"320","7/13/2020","Fiji","26","0","18","165.4505548","-17.4285609"
"321","7/13/2020","Finland","7295","329","6800","26.2746702","64.4988484"
"322","7/13/2020","Ethiopia","7766","128","2430","39.6008014","8.6227842"
"323","7/13/2020","Spain","255953","28406","150376","-3.6475487","40.2444863"
"324","7/13/2020","Eritrea","232","0","107","38.8461544","15.3618688"
"325","7/13/2020","Sahara Occidental","10","1","8","#N/A","#N/A"
"326","7/13/2020","Egypt","83001","3935","24975","29.8618993","26.4959311"
"327","7/13/2020","Estonia","2014","69","1895","25.5424855","58.6719242"
"328","7/13/2020","Ecuador","68459","5063","30369","-78.7520357","-1.4238195"
"329","7/13/2020","Algeria","19689","1018","14019","2.6173210","28.1589384"
"330","7/13/2020","Dominican Republic","45506","903","22441","-70.5056909","18.8943308"
"331","7/13/2020","Dominica","18","0","18","-61.3577312","15.4394721"
"332","7/13/2020","Denemark","13050","610","12143","#N/A","#N/A"
"333","7/13/2020","Djibouti","4977","56","4729","42.5606768","11.7487205"
"334","7/13/2020","Germany","200180","9074","185100","10.3857769","51.1069790"
"335","7/13/2020","Czech Republic","13238","353","8373","15.3124007","49.7334107"
"336","7/13/2020","Cyprus","1022","19","839","33.0060036","34.9166693"
"337","7/13/2020","Cape Verde","1698","19","748","-23.9599097","15.9551882"
"338","7/13/2020","Cuba","2428","87","2268","-79.0160691","21.6229002"
"339","7/13/2020","Costa Rica","8036","34","2304","-84.1920879","9.9763424"
"340","7/13/2020","Colombia","150445","5634","63451","-73.0811494","3.9138316"
"341","7/13/2020","China","83602","4634","78648","103.8190738","36.5617680"
"342","7/13/2020","Cameroon","15173","359","11928","12.7396427","5.6911030"
"343","7/13/2020","Chile","317657","7024","286556","-71.3825588","-37.7306975"
"344","7/13/2020","Ivory Coast","12872","84","6810","-5.5692160","7.6284287"
"345","7/13/2020","Suiss","32946","1968","29600","#N/A","#N/A"
"346","7/13/2020","Republic of the Congo","2028","47","589","15.2196572","-0.8378817"
"347","7/13/2020","Central African Republic","4321","53","1208","20.4682636","6.5682300"
"348","7/13/2020","Democratic Republic of the Congo","8075","190","3620","23.6439564","-2.8774601"
"349","7/13/2020","Canada","109984","8836","73381","-98.3077572","61.3620683"
"350","7/13/2020","Belize","37","2","20","-88.7101023","17.2002747"
"351","7/13/2020","Belarus","65114","468","55492","28.0320871","53.5313115"
"352","7/13/2020","Botswana","399","1","38","23.7985373","-22.1840203"
"353","7/13/2020","Bhutan","84","0","76","90.4018950","27.4110619"
"354","7/13/2020","Bahamas","113","11","91","#N/A","#N/A"
"355","7/13/2020","Brasil","1884967","72833","1291251","#N/A","#N/A"
